12×8 DataFrame
 Row │ parameters  mean        std       naive_se    mcse        ess      rhat     ess_per_sec
     │ Symbol      Float64     Float64   Float64     Float64     Float64  Float64  Float64
─────┼─────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           70.8114     4.79924   0.0536571   0.0941368   2101.85  1.00087      21.477
   2 │ σ            6.54192    0.285938  0.00319688  0.00397383  5383.29  1.00037      55.0073
   3 │ τ[1]         6.05703    4.91366   0.0549364   0.126603    1281.8   1.00115      13.0976
   4 │ τ[2]         6.05027    5.00599   0.0559686   0.147345    1153.73  1.00123      11.789
   5 │ βⱼ[1,1]      0.243822   0.811422  0.00907197  0.0144824   3187.9   1.0015       32.5745
   6 │ βⱼ[2,1]     -0.927608   1.03722   0.0115965   0.0255986   1644.87  1.0001       16.8075
   7 │ βⱼ[3,1]      0.562864   0.877836  0.0098145   0.0198396   2372.51  1.0006       24.2427
   8 │ βⱼ[4,1]      0.0969922  0.799195  0.00893528  0.0136859   3056.19  1.00085      31.2287
   9 │ βⱼ[1,2]      0.258359   0.807021  0.00902277  0.0149357   2795.54  1.00193      28.5653
  10 │ βⱼ[2,2]     -0.917479   1.05359   0.0117794   0.0238457   1797.64  1.00027      18.3686
  11 │ βⱼ[3,2]      0.567299   0.902078  0.0100855   0.017317    2502.98  1.0006       25.5759
  12 │ βⱼ[4,2]      0.107948   0.797702  0.00891858  0.0141381   3685.84  1.00135      37.6625
